relationship_id,incident_id,from_interaction,to_interaction,relationship_type,relationship_confidence
2016-tesla-autopilot-williston::R33,2016-tesla-autopilot-williston,2016-tesla-autopilot-williston::S1,2016-tesla-autopilot-williston::S2,enabling,high
2016-tesla-autopilot-williston::R34,2016-tesla-autopilot-williston,2016-tesla-autopilot-williston::S3,2016-tesla-autopilot-williston::S5,enabling,high
2016-tesla-autopilot-williston::R35,2016-tesla-autopilot-williston,2016-tesla-autopilot-williston::S4,2016-tesla-autopilot-williston::S1,enabling,medium
2016-compas-recidivism::R36,2016-compas-recidivism,2016-compas-recidivism::S2,2016-compas-recidivism::S4,enabling,high
2016-compas-recidivism::R37,2016-compas-recidivism,2016-compas-recidivism::S1,2016-compas-recidivism::S3,temporal-precedence,low
2016-microsoft-tay::R38,2016-microsoft-tay,2016-microsoft-tay::S3,2016-microsoft-tay::S2,enabling,medium
2016-microsoft-tay::R39,2016-microsoft-tay,2016-microsoft-tay::S2,2016-microsoft-tay::S6,temporal-precedence,high
2016-microsoft-tay::R40,2016-microsoft-tay,2016-microsoft-tay::S5,2016-microsoft-tay::S6,enabling,medium
2020-clearview-ai-scraping::R41,2020-clearview-ai-scraping,2020-clearview-ai-scraping::S2,2020-clearview-ai-scraping::S1,enabling,medium
2020-clearview-ai-scraping::R42,2020-clearview-ai-scraping,2020-clearview-ai-scraping::S1,2020-clearview-ai-scraping::S3,common-cause,medium
2020-clearview-ai-scraping::R43,2020-clearview-ai-scraping,2020-clearview-ai-scraping::S5,2020-clearview-ai-scraping::S7,temporal-precedence,high
2020-uk-ofqual-alevel::R44,2020-uk-ofqual-alevel,2020-uk-ofqual-alevel::S4,2020-uk-ofqual-alevel::S1,enabling,high
2020-uk-ofqual-alevel::R45,2020-uk-ofqual-alevel,2020-uk-ofqual-alevel::S4,2020-uk-ofqual-alevel::S5,enabling,medium
2020-uk-ofqual-alevel::R46,2020-uk-ofqual-alevel,2020-uk-ofqual-alevel::S2,2020-uk-ofqual-alevel::S3,enabling,medium
2013-2015-us-mi-midas::R47,2013-2015-us-mi-midas,2013-2015-us-mi-midas::S1,2013-2015-us-mi-midas::S3,enabling,medium
2013-2015-us-mi-midas::R48,2013-2015-us-mi-midas,2013-2015-us-mi-midas::S1,2013-2015-us-mi-midas::S2,common-cause,high
2013-2015-us-mi-midas::R49,2013-2015-us-mi-midas,2013-2015-us-mi-midas::S5,2013-2015-us-mi-midas::S6,masking,medium
2024-2025-raine-openai::R50,2024-2025-raine-openai,2024-2025-raine-openai::S2,2024-2025-raine-openai::S1,enabling,low
2024-2025-raine-openai::R51,2024-2025-raine-openai,2024-2025-raine-openai::S5,2024-2025-raine-openai::S4,enabling,low
2021-facebook-files-instagram::R52,2021-facebook-files-instagram,2021-facebook-files-instagram::S1,2021-facebook-files-instagram::S2,temporal-precedence,high
2021-facebook-files-instagram::R53,2021-facebook-files-instagram,2021-facebook-files-instagram::S4,2021-facebook-files-instagram::S5,masking,medium
2021-facebook-files-instagram::R54,2021-facebook-files-instagram,2021-facebook-files-instagram::S2,2021-facebook-files-instagram::S3,enabling,medium
2015-vw-dieselgate::R55,2015-vw-dieselgate,2015-vw-dieselgate::S3,2015-vw-dieselgate::S1,enabling,high
2015-vw-dieselgate::R56,2015-vw-dieselgate,2015-vw-dieselgate::S2,2015-vw-dieselgate::S5,enabling,high
2015-vw-dieselgate::R57,2015-vw-dieselgate,2015-vw-dieselgate::S4,2015-vw-dieselgate::S1,enabling,medium
2020-pulse-oximeter-bias::R58,2020-pulse-oximeter-bias,2020-pulse-oximeter-bias::S2,2020-pulse-oximeter-bias::S1,enabling,high
2020-pulse-oximeter-bias::R59,2020-pulse-oximeter-bias,2020-pulse-oximeter-bias::S4,2020-pulse-oximeter-bias::S3,temporal-precedence,high
2010-flash-crash::R60,2010-flash-crash,2010-flash-crash::S1,2010-flash-crash::S4,enabling,medium
2010-flash-crash::R61,2010-flash-crash,2010-flash-crash::S2,2010-flash-crash::S3,common-cause,low
2010-flash-crash::R62,2010-flash-crash,2010-flash-crash::S5,2010-flash-crash::S1,temporal-precedence,low
2021-zillow-offers::R63,2021-zillow-offers,2021-zillow-offers::S1,2021-zillow-offers::S3,enabling,medium
2021-zillow-offers::R64,2021-zillow-offers,2021-zillow-offers::S2,2021-zillow-offers::S1,enabling,medium
2021-zillow-offers::R65,2021-zillow-offers,2021-zillow-offers::S4,2021-zillow-offers::S1,enabling,low
2018-ibm-watson-oncology::R66,2018-ibm-watson-oncology,2018-ibm-watson-oncology::S1,2018-ibm-watson-oncology::S2,enabling,high
2018-ibm-watson-oncology::R67,2018-ibm-watson-oncology,2018-ibm-watson-oncology::S3,2018-ibm-watson-oncology::S4,masking,medium
2018-ibm-watson-oncology::R68,2018-ibm-watson-oncology,2018-ibm-watson-oncology::S5,2018-ibm-watson-oncology::S6,temporal-precedence,high
2023-2025-mobley-workday::R69,2023-2025-mobley-workday,2023-2025-mobley-workday::S1,2023-2025-mobley-workday::S3,enabling,low
2023-2025-mobley-workday::R70,2023-2025-mobley-workday,2023-2025-mobley-workday::S3,2023-2025-mobley-workday::S2,common-cause,low
2024-gemini-image-generation::R71,2024-gemini-image-generation,2024-gemini-image-generation::S1,2024-gemini-image-generation::S2,enabling,high
2024-gemini-image-generation::R72,2024-gemini-image-generation,2024-gemini-image-generation::S1,2024-gemini-image-generation::S3,common-cause,low
2024-gemini-image-generation::R73,2024-gemini-image-generation,2024-gemini-image-generation::S5,2024-gemini-image-generation::S6,enabling,high
2018-tesla-autopilot-mountain-view::R74,2018-tesla-autopilot-mountain-view,2018-tesla-autopilot-mountain-view::S2,2018-tesla-autopilot-mountain-view::S4,enabling,high
2018-tesla-autopilot-mountain-view::R75,2018-tesla-autopilot-mountain-view,2018-tesla-autopilot-mountain-view::S3,2018-tesla-autopilot-mountain-view::S1,enabling,medium
2023-tesla-autopilot-recall::R76,2023-tesla-autopilot-recall,2023-tesla-autopilot-recall::S1,2023-tesla-autopilot-recall::S3,temporal-precedence,high
2023-tesla-autopilot-recall::R77,2023-tesla-autopilot-recall,2023-tesla-autopilot-recall::S1,2023-tesla-autopilot-recall::S2,common-cause,medium
2017-2021-rotterdam-welfare::R78,2017-2021-rotterdam-welfare,2017-2021-rotterdam-welfare::S1,2017-2021-rotterdam-welfare::S2,enabling,medium
2017-2021-rotterdam-welfare::R79,2017-2021-rotterdam-welfare,2017-2021-rotterdam-welfare::S4,2017-2021-rotterdam-welfare::S3,enabling,medium
2017-2021-rotterdam-welfare::R80,2017-2021-rotterdam-welfare,2017-2021-rotterdam-welfare::S6,2017-2021-rotterdam-welfare::S7,temporal-precedence,high
2014-erater-babel-aes::R81,2014-erater-babel-aes,2014-erater-babel-aes::S1,2014-erater-babel-aes::S2,common-cause,high
2014-erater-babel-aes::R82,2014-erater-babel-aes,2014-erater-babel-aes::S2,2014-erater-babel-aes::S5,temporal-precedence,high
2025-amazon-q-injection::R83,2025-amazon-q-injection,2025-amazon-q-injection::S1,2025-amazon-q-injection::S2,enabling,high
2025-amazon-q-injection::R84,2025-amazon-q-injection,2025-amazon-q-injection::S4,2025-amazon-q-injection::S6,temporal-precedence,high
