incident_id,title,domain,domain_detail,date_start,date_end,incident_scope,observation_boundary,harm_primary,harm_secondary,outcome_class,system_type,era,agentic,ai_causal_contribution,attributed_primary_cause,incident_confidence,n_safeguards,dataset_version
2016-tesla-autopilot-williston,"Tesla Autopilot fatal crash (Williston, FL; Joshua Brown)",autonomous-vehicle,,2016-05-07,2016-05-07,discrete-event,,physical-safety,,realized-harm,confirmed-ML,legacy,0,major-contributor,multiple,high,6,v1.0
2016-compas-recidivism,COMPAS recidivism risk scoring and the fairness dispute,criminal-justice,,2016,2016,systemic-program,COMPAS pretrial/sentencing risk scoring as examined by ProPublica (Broward County) and State v. Loomis; excludes other risk tools.,rights-discrimination,,realized-harm,algorithmic-nonML,legacy,0,disputed,disputed,medium,6,v1.0
2016-microsoft-tay,Microsoft Tay chatbot manipulated into abusive output,consumer-chatbot,,2016-03-23,2016-03-24,discrete-event,,information-integrity,psychological-social,realized-harm,confirmed-ML,legacy,0,major-contributor,multiple,high,6,v1.0
2020-clearview-ai-scraping,Clearview AI non-consensual facial-recognition scraping,security-cyber,privacy,2017,2022,systemic-program,Clearview's non-consensual scraping of billions of facial images (~2017 onward) and 2021-2022 regulatory findings; excludes post-2022 appeals.,privacy-data,,realized-harm,confirmed-ML,legacy,0,major-contributor,organizational,high,7,v1.0
2020-uk-ofqual-alevel,UK Ofqual A-level grading algorithm and its withdrawal,education,,2020-03-18,2020-08-17,bounded-episode,The 2020 England A-level/GCSE algorithmic standardisation and its withdrawal (Mar-Aug 2020); England-focused; excludes SQA/Wales/NI parallel episodes.,rights-discrimination,psychological-social,realized-harm,algorithmic-nonML,legacy,0,major-contributor,organizational,high,7,v1.0
2013-2015-us-mi-midas,Michigan MiDAS automated unemployment-fraud false accusations,government-benefits,,2013-10,2015-08,systemic-program,"MiDAS auto-adjudication of unemployment fraud with no human review (Oct 2013-Aug 2015) and the ~40,000 false accusations; excludes broader UIA operations.",financial-loss,psychological-social,realized-harm,algorithmic-nonML,legacy,0,major-contributor,organizational,high,8,v1.0
2024-2025-raine-openai,Raine v. OpenAI (alleged chatbot contribution to a teen suicide),consumer-chatbot,,2024-09,2025-04-11,discrete-event,,psychological-social,,realized-harm,confirmed-ML,genai,0,disputed,disputed,low,6,v1.0
2021-facebook-files-instagram,Facebook Files: Instagram engagement ranking and teen harm,content-moderation,,2019,2021-10,systemic-program,Instagram's engagement-based recommendation/ranking and documented teen-mental-health harms per Meta's internal 2019-2021 research and the 2021 disclosures; excludes the later Teen Accounts era.,psychological-social,,realized-harm,confirmed-ML,legacy,0,contributory-non-necessary,organizational,medium,6,v1.0
2015-vw-dieselgate,Volkswagen Dieselgate emissions defeat device,environmental,,2009,2015-09,systemic-program,"The 2.0L TDI defeat-device software (MY2009-2015, ~475-500k US vehicles) and its defeat of emissions testing; the 3.0L matter and non-US markets are context.",environmental,,realized-harm,algorithmic-nonML,legacy,0,major-contributor,organizational,high,7,v1.0
2020-pulse-oximeter-bias,Racial bias in pulse-oximeter oxygen estimation,healthcare-clinical,,2020,2020,systemic-program,Racial bias in pulse-oximeter SpO2 estimation from unrepresentative calibration (surfaced 2020) and resulting occult hypoxemia / treatment delays; focuses on the calibration and regulatory-testing failure.,physical-safety,rights-discrimination,realized-harm,algorithmic-nonML,legacy,0,major-contributor,organizational,high,5,v1.0
2010-flash-crash,2010 Flash Crash (automated trading cascade),finance-trading,,2010-05-06,2010-05-06,discrete-event,,financial-loss,,realized-harm,algorithmic-nonML,legacy,0,major-contributor,multiple,high,8,v1.0
2021-zillow-offers,Zillow Offers iBuying algorithmic mispricing collapse,finance-trading,,2021-11-02,2021-11-02,discrete-event,,financial-loss,,realized-harm,probable-ML,legacy,0,major-contributor,organizational,high,6,v1.0
2018-ibm-watson-oncology,IBM Watson for Oncology unsafe treatment recommendations,healthcare-clinical,,2018-07,2018-07,systemic-program,"The MSK-trained commercial Watson for Oncology product, its synthetic-case training and unsafe recommendations per internal 2017 documents; excludes the separate MD Anderson project.",information-integrity,physical-safety,realized-harm,confirmed-ML,legacy,0,major-contributor,organizational,medium,7,v1.0
2023-2025-mobley-workday,Mobley v. Workday (alleged AI hiring discrimination),hiring-HR,,2023,2025,systemic-program,Allegations and rulings in Mobley v. Workday regarding AI applicant-screening and discrimination; excludes adjudicated liability (none yet).,rights-discrimination,,realized-harm,probable-ML,genai,0,disputed,disputed,low,6,v1.0
2024-gemini-image-generation,Google Gemini historically inaccurate image generation (over-correction),content-moderation,,2024-02,2024-02,discrete-event,,information-integrity,,realized-harm,confirmed-ML,genai,0,major-contributor,organizational,high,7,v1.0
2018-tesla-autopilot-mountain-view,Tesla Autopilot fatal crash (Mountain View; Walter Huang),autonomous-vehicle,,2018-03-23,2018-03-23,discrete-event,,physical-safety,,realized-harm,confirmed-ML,legacy,0,major-contributor,multiple,high,7,v1.0
2023-tesla-autopilot-recall,NHTSA ~2M-vehicle Tesla Autopilot recall (inadequate driver engagement),autonomous-vehicle,,2023-12-12,2023-12-12,systemic-program,"NHTSA's finding (EA22-002) that Autopilot driver-engagement controls were insufficient across ~2M vehicles and the Dec 2023 recall, based on the crash set incl. stationary-emergency-vehicle collisions; excludes individual crash specifics.",physical-safety,,realized-harm,confirmed-ML,legacy,0,major-contributor,organizational,high,4,v1.0
2017-2021-rotterdam-welfare,Rotterdam welfare-fraud risk-scoring algorithm,government-benefits,,2017,2021,systemic-program,"Rotterdam's gradient-boosting welfare-fraud risk-scoring model (~2017-2021; ~30,000 recipients scored, top ~1,000/yr investigated) and its discriminatory scoring; excludes other municipalities.",rights-discrimination,psychological-social,realized-harm,confirmed-ML,legacy,0,major-contributor,organizational,high,7,v1.0
2014-erater-babel-aes,Automated essay scoring validity failure (ETS e-rater / BABEL),education,,2014,2018,systemic-program,"The construct-validity and adversarial-robustness failure of ETS e-rater automated essay scoring as demonstrated by the BABEL generator (2014) and ETS's response; focuses on e-rater, with other AES engines as context.",information-integrity,,realized-harm,confirmed-ML,legacy,0,major-contributor,organizational,high,5,v1.0
2025-amazon-q-injection,Amazon Q Developer extension supply-chain injection (near-miss),security-cyber,,2025-07,2025-07,discrete-event,,security-compromise,,near-miss,confirmed-ML,genai,1,major-contributor,organizational,medium,6,v1.0
