interaction_id,incident_id,local_sid,name,system_layer,primary_function,secondary_functions,observed_state,inadequacy_type,suspected_absent,timeliness,evidentiary_basis,evidence_status,causal_role,existence_timing,confidence,control_group
2022-air-canada-chatbot::S2,2022-air-canada-chatbot,S2,Human review of chatbot answers,human-operator,detective,,Absent,,0,not-applicable,established-practice,inferred-indirect,contributing,incident-time,low,
2022-air-canada-chatbot::S3,2022-air-canada-chatbot,S3,Effective disclaimer / ToS carve-out,application,containment,,Absent,,0,not-applicable,comparable-system,single-source-reported,contributing,incident-time,medium,
2022-air-canada-chatbot::S4,2022-air-canada-chatbot,S4,Linked correct policy page (reachability),application,containment,,Inadequate,design,0,not-applicable,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2022-air-canada-chatbot::S5,2022-air-canada-chatbot,S5,Pre-deployment accuracy testing,organizational-process,preventive,,Unknown,,1,not-applicable,inferred-indirect,inferred-indirect,latent-condition,incident-time,low,
2022-air-canada-chatbot::S6,2022-air-canada-chatbot,S6,Organizational accountability (separate-entity defense),organizational-process,assurance-governance,,Failed,,0,too-late,direct-artifact,confirmed-authoritative,aggravating,incident-time,high,
2022-air-canada-chatbot::S7,2022-air-canada-chatbot,S7,External adjudication (Civil Resolution Tribunal),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2025-gemini-cli-file-destruction::S1,2025-gemini-cli-file-destruction,S1,Internal command-success verification (read-after-write),application,detective,,Failed,,0,too-late,direct-artifact,single-source-reported,primary,incident-time,medium,
2025-gemini-cli-file-destruction::S2,2025-gemini-cli-file-destruction,S2,Human confirmation before destructive commands,human-operator,preventive,,Unknown,,0,not-applicable,operator-claim,disputed,contributing,incident-time,low,
2025-gemini-cli-file-destruction::S3,2025-gemini-cli-file-destruction,S3,Sandboxing / write-scope containment,infrastructure-environment,containment,,Inadequate,operation,0,not-applicable,direct-artifact,single-source-reported,contributing,incident-time,medium,
2025-gemini-cli-file-destruction::S4,2025-gemini-cli-file-destruction,S4,Dry-run / preview of net effect,application,preventive,,Absent,,0,not-applicable,comparable-system,inferred-indirect,contributing,incident-time,medium,
2025-gemini-cli-file-destruction::S5,2025-gemini-cli-file-destruction,S5,Backup / undo / recovery,infrastructure-environment,recovery,,Absent,,0,not-applicable,comparable-system;established-practice,multiply-reported,contributing,incident-time,medium,
2025-gemini-cli-file-destruction::S6,2025-gemini-cli-file-destruction,S6,Real-time failure detection / auto-halt,application,detective,,Failed,,0,too-late,direct-artifact,single-source-reported,contributing,incident-time,medium,
2018-2019-boeing-737max-mcas::S1,2018-2019-boeing-737max-mcas,S1,"MCAS control-law bounding (authority limit, single activation)",model,containment,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2018-2019-boeing-737max-mcas::S2,2018-2019-boeing-737max-mcas,S2,AoA sensor redundancy / cross-check,infrastructure-environment,preventive,,Absent,,0,not-applicable,comparable-system;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2018-2019-boeing-737max-mcas::S3,2018-2019-boeing-737max-mcas,S3,AoA Disagree alert,application,detective,,Disabled,,0,not-applicable,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2018-2019-boeing-737max-mcas::S4,2018-2019-boeing-737max-mcas,S4,Pilot disclosure & training on MCAS,organizational-process,assurance-governance,,Disabled,,0,not-applicable,post-incident-finding;direct-artifact,confirmed-authoritative,primary,incident-time,high,
2018-2019-boeing-737max-mcas::S5,2018-2019-boeing-737max-mcas,S5,Runaway-trim / stab-cutout recovery procedure,human-operator,recovery,,Inadequate,operation,0,delayed,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2018-2019-boeing-737max-mcas::S6,2018-2019-boeing-737max-mcas,S6,System safety analysis / hazard classification,organizational-process,assurance-governance,,Failed,,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2018-2019-boeing-737max-mcas::S7,2018-2019-boeing-737max-mcas,S7,FAA certification oversight (ODA delegation),external-ecosystem,assurance-governance,,Inadequate,enforcement,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2018-2019-boeing-737max-mcas::S8,2018-2019-boeing-737max-mcas,S8,"Between-crash intervention (Emergency AD, no grounding)",external-ecosystem,containment,,Inadequate,design,0,delayed,post-incident-finding;direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2018-2019-boeing-737max-mcas::S9,2018-2019-boeing-737max-mcas,S9,MCAS redesign + grounding + training,model,containment,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2013-2021-nl-toeslagen::S1,2013-2021-nl-toeslagen,S1,Human-rights / data-protection impact assessment (pre-deployment),organizational-process,assurance-governance,,Absent,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2013-2021-nl-toeslagen::S2,2013-2021-nl-toeslagen,S2,Bias mitigation / removal of nationality feature,model,preventive,,Absent,,0,not-applicable,post-incident-finding;regulation-policy,confirmed-authoritative,primary,incident-time,high,
2013-2021-nl-toeslagen::S3,2013-2021-nl-toeslagen,S3,Model transparency / explainability,application,detective,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2013-2021-nl-toeslagen::S4,2013-2021-nl-toeslagen,S4,Meaningful individual human review of flagged cases,human-operator,detective,,Bypassed,,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2013-2021-nl-toeslagen::S5,2013-2021-nl-toeslagen,S5,Proportionality safeguard on benefit reclamation,application,containment,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2013-2021-nl-toeslagen::S6,2013-2021-nl-toeslagen,S6,Legal basis / GDPR compliance,organizational-process,preventive,,Failed,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2013-2021-nl-toeslagen::S7,2013-2021-nl-toeslagen,S7,Internal accountability / honest disclosure to regulator,organizational-process,assurance-governance,,Failed,,0,not-applicable,post-incident-finding,confirmed-authoritative,aggravating,incident-time,high,
2013-2021-nl-toeslagen::S8,2013-2021-nl-toeslagen,S8,External oversight: Data Protection Authority,external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2013-2021-nl-toeslagen::S9,2013-2021-nl-toeslagen,S9,External oversight: courts / parliament,external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2020-williams-detroit-facerec::S1,2020-williams-detroit-facerec,S1,"'Investigative lead only, not probable cause' policy",organizational-process,preventive,,Bypassed,,0,not-applicable,direct-artifact;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2020-williams-detroit-facerec::S2,2020-williams-detroit-facerec,S2,Independent human corroboration before arrest,human-operator,preventive,,Absent,,0,not-applicable,established-practice;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2020-williams-detroit-facerec::S3,2020-williams-detroit-facerec,S3,Photo-lineup integrity (untainted witness),human-operator,detective,,Inadequate,operation,0,not-applicable,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2020-williams-detroit-facerec::S4,2020-williams-detroit-facerec,S4,Image-quality / match-confidence threshold,application,preventive,,Absent,,0,not-applicable,comparable-system,inferred-indirect,contributing,incident-time,medium,
2020-williams-detroit-facerec::S5,2020-williams-detroit-facerec,S5,FR analyst / examiner verification,human-operator,detective,,Inadequate,operation,0,not-applicable,post-incident-finding,multiply-reported,contributing,incident-time,medium,
2020-williams-detroit-facerec::S6,2020-williams-detroit-facerec,S6,Warrant / judicial pre-arrest check,external-ecosystem,preventive,,Bypassed,,0,not-applicable,post-incident-finding,confirmed-authoritative,contributing,incident-time,medium,
2020-williams-detroit-facerec::S7,2020-williams-detroit-facerec,S7,Prosecutorial review / charge dismissal,external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2020-williams-detroit-facerec::S8,2020-williams-detroit-facerec,S8,Detroit PD facial-recognition policy,organizational-process,preventive,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2023-mata-avianca-chatgpt::S1,2023-mata-avianca-chatgpt,S1,Attorney verification of cited cases vs a real database (Rule 11),human-operator,preventive,,Bypassed,,0,not-applicable,direct-artifact,confirmed-authoritative,primary,incident-time,high,
2023-mata-avianca-chatgpt::S2,2023-mata-avianca-chatgpt,S2,Signing-attorney gatekeeping inquiry,human-operator,preventive,,Bypassed,,0,not-applicable,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2023-mata-avianca-chatgpt::S3,2023-mata-avianca-chatgpt,S3,Firm AI-use / tool-appropriateness policy,organizational-process,preventive,,Unknown,,1,not-applicable,inferred-indirect,inferred-indirect,latent-condition,incident-time,low,
2023-mata-avianca-chatgpt::S4,2023-mata-avianca-chatgpt,S4,Detection (opposing counsel + court),external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2023-mata-avianca-chatgpt::S5,2023-mata-avianca-chatgpt,S5,Accountability / Rule 11 sanctions,external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2023-mata-avianca-chatgpt::S6,2023-mata-avianca-chatgpt,S6,Court standing orders on AI disclosure,external-ecosystem,preventive,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2025-echoleak-m365-copilot::S1,2025-echoleak-m365-copilot,S1,Prompt-injection classifiers (XPIA),application,detective,,Bypassed,,0,not-applicable,operator-claim;direct-artifact,multiply-reported,primary,incident-time,medium,
2025-echoleak-m365-copilot::S2,2025-echoleak-m365-copilot,S2,Data-scope / trust-boundary isolation (least privilege),infrastructure-environment,containment,,Inadequate,design,0,not-applicable,direct-artifact,single-source-reported,primary,incident-time,medium,
2025-echoleak-m365-copilot::S3,2025-echoleak-m365-copilot,S3,Markdown link/image redaction,application,containment,,Inadequate,design,0,not-applicable,direct-artifact,single-source-reported,contributing,incident-time,medium,
2025-echoleak-m365-copilot::S4,2025-echoleak-m365-copilot,S4,CSP / URL egress allowlist,infrastructure-environment,containment,,Bypassed,,0,not-applicable,direct-artifact,single-source-reported,contributing,incident-time,medium,
2025-echoleak-m365-copilot::S5,2025-echoleak-m365-copilot,S5,Human-in-the-loop confirmation at exfiltration,human-operator,preventive,,Absent,,0,not-applicable,comparable-system,inferred-indirect,contributing,incident-time,medium,
2025-echoleak-m365-copilot::S6,2025-echoleak-m365-copilot,S6,Detection (Aim Labs responsible disclosure),external-ecosystem,detective,,Working,,0,in-time,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2025-echoleak-m365-copilot::S7,2025-echoleak-m365-copilot,S7,Remediation (Microsoft server-side fix),application,recovery,,Working,,0,in-time,operator-claim,multiply-reported,not-causally-relevant,added-after,high,
2016-tesla-autopilot-williston::S1,2016-tesla-autopilot-williston,S1,Perception / crossing-object detection,application,preventive,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2016-tesla-autopilot-williston::S2,2016-tesla-autopilot-williston,S2,Automatic emergency braking,application,containment,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2016-tesla-autopilot-williston::S3,2016-tesla-autopilot-williston,S3,Driver-attention monitoring,application,detective,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2016-tesla-autopilot-williston::S4,2016-tesla-autopilot-williston,S4,Operational-design-domain enforcement / geofence,application,preventive,,Absent,,0,not-applicable,comparable-system;post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2016-tesla-autopilot-williston::S5,2016-tesla-autopilot-williston,S5,Driver attention / intervention (human),human-operator,recovery,,Failed,,0,too-late,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2016-tesla-autopilot-williston::S6,2016-tesla-autopilot-williston,S6,Post-incident hands-on escalation + Autosteer strike-out,application,detective,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2016-compas-recidivism::S1,2016-compas-recidivism,S1,Independent pre-deployment disparate-impact validation,organizational-process,assurance-governance,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2016-compas-recidivism::S2,2016-compas-recidivism,S2,Algorithmic transparency (non-proprietary scoring),application,detective,,Absent,,0,not-applicable,direct-artifact;post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2016-compas-recidivism::S3,2016-compas-recidivism,S3,Model fairness constraint (equalized error rates),model,preventive,,Disputed,,0,not-applicable,research-evidence,disputed,unknown,incident-time,medium,
2016-compas-recidivism::S4,2016-compas-recidivism,S4,Human oversight (judge in the loop),human-operator,containment,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,contributing,incident-time,medium,
2016-compas-recidivism::S5,2016-compas-recidivism,S5,Due-process protections (State v. Loomis restrictions),external-ecosystem,assurance-governance,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2016-compas-recidivism::S6,2016-compas-recidivism,S6,Loomis-mandated warning advisement,external-ecosystem,assurance-governance,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2016-microsoft-tay::S1,2016-microsoft-tay,S1,Output content filter (learning/generation path),application,preventive,,Inadequate,design,0,not-applicable,operator-claim;post-incident-finding,multiply-reported,primary,incident-time,medium,
2016-microsoft-tay::S2,2016-microsoft-tay,S2,Online-learning poisoning safeguard,application,preventive,,Absent,,0,not-applicable,comparable-system;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2016-microsoft-tay::S3,2016-microsoft-tay,S3,Adversarial testing / red-teaming pre-launch,organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,operator-claim,single-source-reported,latent-condition,incident-time,medium,
2016-microsoft-tay::S4,2016-microsoft-tay,S4,Guard on the 'repeat after me' function,application,preventive,,Absent,,0,not-applicable,direct-artifact,multiply-reported,contributing,incident-time,medium,
2016-microsoft-tay::S5,2016-microsoft-tay,S5,Real-time abuse monitoring / auto-halt,application,detective,,Unknown,,1,not-applicable,inferred-indirect,inferred-indirect,contributing,incident-time,low,
2016-microsoft-tay::S6,2016-microsoft-tay,S6,Kill-switch / takedown,human-operator,containment,,Working,,0,too-late,operator-claim,multiply-reported,mitigating,incident-time,high,
2020-clearview-ai-scraping::S1,2020-clearview-ai-scraping,S1,Consent / lawful basis for biometric processing,organizational-process,preventive,,Absent,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2020-clearview-ai-scraping::S2,2020-clearview-ai-scraping,S2,Data-protection-by-design / DPIA,organizational-process,assurance-governance,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,medium,
2020-clearview-ai-scraping::S3,2020-clearview-ai-scraping,S3,Transparency / notice / opt-out,organizational-process,preventive,,Absent,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2020-clearview-ai-scraping::S4,2020-clearview-ai-scraping,S4,Purpose-limitation & retention limits,organizational-process,containment,,Absent,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2020-clearview-ai-scraping::S5,2020-clearview-ai-scraping,S5,External oversight: data-protection authorities,external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2020-clearview-ai-scraping::S6,2020-clearview-ai-scraping,S6,Structural restraint: US BIPA / ACLU settlement,external-ecosystem,containment,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2020-clearview-ai-scraping::S7,2020-clearview-ai-scraping,S7,Enforcement of deletion / cease orders,external-ecosystem,recovery,,Failed,,0,too-late,direct-artifact,multiply-reported,not-causally-relevant,incident-time,high,
2020-uk-ofqual-alevel::S1,2020-uk-ofqual-alevel,S1,Equality / fairness impact assessment,organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,direct-artifact;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2020-uk-ofqual-alevel::S2,2020-uk-ofqual-alevel,S2,Individual-level validation / testing,organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2020-uk-ofqual-alevel::S3,2020-uk-ofqual-alevel,S3,Appeals / redress mechanism,organizational-process,recovery,,Inadequate,operation,0,too-late,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2020-uk-ofqual-alevel::S4,2020-uk-ofqual-alevel,S4,"External expert review & oversight (RSS, Education Committee)",organizational-process,assurance-governance,,Bypassed,,0,not-applicable,direct-artifact,confirmed-authoritative,primary,incident-time,high,
2020-uk-ofqual-alevel::S5,2020-uk-ofqual-alevel,S5,Transparency (model published for scrutiny pre-results),application,assurance-governance,,Inadequate,design,0,not-applicable,direct-artifact;post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2020-uk-ofqual-alevel::S6,2020-uk-ofqual-alevel,S6,Recovery / rollback to teacher-assessed grades,external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2020-uk-ofqual-alevel::S7,2020-uk-ofqual-alevel,S7,Post-incident: code publication + OSR review,organizational-process,assurance-governance,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2013-2015-us-mi-midas::S1,2013-2015-us-mi-midas,S1,Human review before fraud determination / penalty,human-operator,preventive,,Disabled,,0,not-applicable,direct-artifact;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2013-2015-us-mi-midas::S2,2013-2015-us-mi-midas,S2,"Evidentiary-basis requirement (real evidence, not inference)",organizational-process,preventive,,Absent,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2013-2015-us-mi-midas::S3,2013-2015-us-mi-midas,S3,Adequate notice / due process,application,preventive,,Failed,,0,not-applicable,direct-artifact,confirmed-authoritative,primary,incident-time,high,
2013-2015-us-mi-midas::S4,2013-2015-us-mi-midas,S4,Pre-deployment testing / validation,organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,post-incident-finding,multiply-reported,latent-condition,incident-time,medium,
2013-2015-us-mi-midas::S5,2013-2015-us-mi-midas,S5,Internal governance / response to the error signal,organizational-process,detective,,Failed,,0,too-late,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2013-2015-us-mi-midas::S6,2013-2015-us-mi-midas,S6,External oversight: Auditor General,external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2013-2015-us-mi-midas::S7,2013-2015-us-mi-midas,S7,External oversight: courts (Bauserman/Cahoo),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2013-2015-us-mi-midas::S8,2013-2015-us-mi-midas,S8,Post-incident: human review mandated + refunds + settlement,organizational-process,preventive,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2024-2025-raine-openai::S1,2024-2025-raine-openai,S1,Self-harm refusal / crisis-resource guardrails,model,preventive,,Bypassed,,0,not-applicable,operator-claim;direct-artifact,disputed,primary,incident-time,low,
2024-2025-raine-openai::S2,2024-2025-raine-openai,S2,Long-conversation safety-degradation control,model,preventive,,Failed,,0,not-applicable,operator-claim,confirmed-authoritative,primary,incident-time,medium,
2024-2025-raine-openai::S3,2024-2025-raine-openai,S3,Age verification / minor protections,application,preventive,,Absent,,0,not-applicable,established-practice,inferred-indirect,contributing,incident-time,medium,
2024-2025-raine-openai::S4,2024-2025-raine-openai,S4,Crisis escalation / human handoff,human-operator,recovery,,Absent,,0,not-applicable,comparable-system,inferred-indirect,contributing,incident-time,medium,
2024-2025-raine-openai::S5,2024-2025-raine-openai,S5,Self-harm detection with intervention,application,detective,,Failed,,0,too-late,operator-claim,disputed,primary,incident-time,low,
2024-2025-raine-openai::S6,2024-2025-raine-openai,S6,"Post-incident: routing, parental controls, age prediction",application,recovery,,Working,,0,in-time,operator-claim,multiply-reported,not-causally-relevant,added-after,medium,
2021-facebook-files-instagram::S1,2021-facebook-files-instagram,S1,Internal harm-detection research,organizational-process,detective,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,incident-time,high,
2021-facebook-files-instagram::S2,2021-facebook-files-instagram,S2,Product-safety response to internal findings,organizational-process,recovery,,Failed,,0,not-applicable,direct-artifact;post-incident-finding,multiply-reported,primary,incident-time,medium,
2021-facebook-files-instagram::S3,2021-facebook-files-instagram,S3,Vulnerable-user recommendation guardrails,application,preventive,,Inadequate,operation,0,not-applicable,post-incident-finding,multiply-reported,primary,incident-time,medium,
2021-facebook-files-instagram::S4,2021-facebook-files-instagram,S4,Transparency / honest disclosure (public & Congress),organizational-process,assurance-governance,,Failed,,0,too-late,direct-artifact,confirmed-authoritative,aggravating,incident-time,high,
2021-facebook-files-instagram::S5,2021-facebook-files-instagram,S5,"External oversight (SEC complaints, Senate hearings)",external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,medium,
2021-facebook-files-instagram::S6,2021-facebook-files-instagram,S6,"Post-incident: Instagram Kids paused, Take a Break, Teen Accounts",application,preventive,,Working,,0,in-time,direct-artifact,multiply-reported,not-causally-relevant,added-after,medium,
2015-vw-dieselgate::S1,2015-vw-dieselgate,S1,Regulatory emissions certification test,external-ecosystem,detective,,Bypassed,,0,not-applicable,direct-artifact;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2015-vw-dieselgate::S2,2015-vw-dieselgate,S2,On-road / in-use emissions testing,external-ecosystem,detective,,Absent,,0,not-applicable,comparable-system;post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2015-vw-dieselgate::S3,2015-vw-dieselgate,S3,Internal governance / engineering-ethics controls,organizational-process,preventive,,Failed,,0,not-applicable,direct-artifact,confirmed-authoritative,primary,incident-time,high,
2015-vw-dieselgate::S4,2015-vw-dieselgate,S4,Certification / type-approval oversight (self-certification),external-ecosystem,assurance-governance,,Inadequate,enforcement,0,not-applicable,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2015-vw-dieselgate::S5,2015-vw-dieselgate,S5,Detection (ICCT / WVU on-road study),external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2015-vw-dieselgate::S6,2015-vw-dieselgate,S6,Accountability / recovery (EPA/DOJ/SEC),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
